data,mes,ano,regiao,status,fornecedor,cliente,quantidade,frete,valor,empresa
2026-03-09,Março,2026,Sudeste,Entregue,Rápido Nordeste,Nimbus SA,1,161.53,161.53,Redorai
2026-06-22,Junho,2026,Centro-Oeste,Entregue,LogiSul,Helix Saúde,1,114.60,114.60,Redorai
2026-08-21,Agosto,2026,Centro-Oeste,Entregue,Jadlog,Helix Saúde,1,20.77,20.77,Redorai
2026-08-06,Agosto,2026,Norte,Em trânsito,Azul Cargo,Atlas Ltda,1,51.16,51.16,Redorai
2026-06-25,Junho,2026,Norte,Entregue,Azul Cargo,Helix Saúde,1,145.59,145.59,Redorai
2026-05-26,Maio,2026,Sudeste,Entregue,Jadlog,Casa Norte,1,125.53,125.53,Redorai
2026-05-24,Maio,2026,Sudeste,Entregue,Azul Cargo,Forge Engenharia,1,30.15,30.15,Redorai
2026-07-30,Julho,2026,Norte,Em trânsito,Rápido Nordeste,Casa Norte,1,44.53,44.53,Redorai
2026-05-05,Maio,2026,Norte,Entregue,Jadlog,Pulse Varejo,1,92.88,92.88,Redorai
2026-05-02,Maio,2026,Sul,Entregue,Correios,Boa Vista,1,19.40,19.40,Redorai
2026-06-20,Junho,2026,Nordeste,Entregue,Correios,Boa Vista,1,121.49,121.49,Redorai
2026-07-17,Julho,2026,Nordeste,Em trânsito,Azul Cargo,Aurora Moda,1,36.76,36.76,Redorai
2026-05-14,Maio,2026,Norte,Entregue,Rápido Nordeste,Nimbus SA,1,13.36,13.36,Redorai
2026-04-30,Abril,2026,Sudeste,Entregue,Jadlog,Pampa Alimentos,1,152.31,152.31,Redorai
2026-04-20,Abril,2026,Sul,Atraso,LogiSul,Aurora Moda,1,149.52,149.52,Redorai
2026-04-18,Abril,2026,Centro-Oeste,Entregue,Azul Cargo,Aurora Moda,1,128.72,128.72,Redorai
2026-07-27,Julho,2026,Nordeste,Entregue,Jadlog,Aurora Moda,1,68.39,68.39,Redorai
2026-04-11,Abril,2026,Sudeste,Entregue,Jadlog,Verde Agro,1,159.19,159.19,Redorai
2026-03-01,Março,2026,Centro-Oeste,Entregue,Azul Cargo,Lumen Tech,1,128.46,128.46,Redorai
2026-05-01,Maio,2026,Nordeste,Entregue,Jadlog,Lumen Tech,1,141.08,141.08,Redorai
2026-06-11,Junho,2026,Nordeste,Entregue,LogiSul,Forge Engenharia,1,178.30,178.30,Redorai
2026-05-31,Maio,2026,Nordeste,Entregue,Jadlog,Lumen Tech,1,31.35,31.35,Redorai
2026-08-09,Agosto,2026,Sudeste,Entregue,LogiSul,Lumen Tech,1,140.61,140.61,Redorai
2026-04-20,Abril,2026,Nordeste,Entregue,Rápido Nordeste,Aurora Moda,1,48.78,48.78,Redorai
2026-07-20,Julho,2026,Sul,Entregue,Correios,Helix Saúde,1,44.93,44.93,Redorai
2026-03-06,Março,2026,Sudeste,Em trânsito,Correios,Lumen Tech,1,35.06,35.06,Redorai
2026-05-18,Maio,2026,Nordeste,Entregue,Rápido Nordeste,Casa Norte,1,74.10,74.10,Redorai
