data,mes,ano,processo,cliente,area,status,fase,tribunal,advogado,risco,resultado,valor_causa,honorarios_previstos,honorarios_recebidos,horas_trabalhadas,data_distribuicao,empresa
2025-10-16,Outubro,2025,1000000-79.2026.8.26.2424,Boa Vista,Cível,Ativo,Sentença,TJSP,Mariana Costa,Baixo,Em andamento,40524.85,1953.28,1450.38,35.6,2025-10-16,Dobra Legal
2025-09-08,Setembro,2025,1000001-85.2026.8.26.5557,Atlas Ltda,Cível,Encerrado,Contestação,TRF-3,Juliana Alves,Baixo,Ganho,412493.14,34482.50,11253.45,33.3,2025-09-08,Dobra Legal
2026-02-20,Fevereiro,2026,1000002-68.2026.8.26.9785,Helix Saúde,Empresarial,Encerrado,Sentença,TJSP,Fernanda Lima,Baixo,Em andamento,28035.36,2475.47,1969.74,89.5,2026-02-20,Dobra Legal
2026-06-25,Junho,2026,1000003-39.2026.8.26.2654,Serra Café,Empresarial,Ativo,Instrução,TRF-3,Juliana Alves,Baixo,Em andamento,410764.19,41834.47,39248.15,52.3,2026-06-25,Dobra Legal
2025-11-17,Novembro,2025,1000004-41.2026.8.26.3677,Céu Soft,Empresarial,Encerrado,Sentença,TRT-2,Fernanda Lima,Baixo,Ganho,1163947.22,103277.60,29631.47,48.1,2025-11-17,Dobra Legal
2026-02-25,Fevereiro,2026,1000005-82.2026.8.26.6155,Lumen Tech,Cível,Encerrado,Execução,TRF-3,Carlos Nogueira,Alto,Perdido,93755.33,6759.12,1371.77,91.4,2026-02-25,Dobra Legal
2024-05-26,Maio,2024,1000006-61.2026.8.26.6930,Verde Agro,Empresarial,Ativo,Contestação,TJMG,Carlos Nogueira,Baixo,Em andamento,69080.32,5993.88,5204.24,10.4,2024-05-26,Dobra Legal
2024-04-22,Abril,2024,1000007-86.2026.8.26.8668,Casa Norte,Trabalhista,Encerrado,Instrução,TJMG,Mariana Costa,Médio,Ganho,770950.89,67622.20,30958.38,19.6,2024-04-22,Dobra Legal
2026-06-25,Junho,2026,1000008-43.2026.8.26.9201,Pulse Varejo,Família,Ativo,Recurso,TJSP,Juliana Alves,Médio,Em andamento,146591.16,7718.41,1177.80,73.0,2026-06-25,Dobra Legal
2024-07-22,Julho,2024,1000009-10.2026.8.26.6310,Rio Branco,Trabalhista,Suspenso,Inicial,TJSP,Juliana Alves,Alto,Em andamento,146172.62,12048.76,1204.88,117.1,2024-07-22,Dobra Legal
